Customer Name,Drink,Branch,Payment Type,Card Number,Date/Time
Bill,"Mocha, 3, £3.16",,,3503342756903797,29/12/2024
Christopher,"Hot Chocolate, 3, £3.4",N/A,Mobile,N/A,20/12/2024
Jeffrey,"Tea, 5, £3.52",UNKNOWN,,30070520668622,12/03/2025
Cynthia,"Latte, 3, £1.85",N/A,Card,UNKNOWN,19/06/2024
Louis,"Latte, 1, £2.07",N/A,,30484336351184,02/12/2024
Michael,"Hot Chocolate, 5, £2.19",Croydon,UNKNOWN,,03/02/2025
Hannah,Latte 2 £1.76,Kingston,,378812287260451,18/01/2025
Marie,"Espresso, 4, £2.35",,Card,,12/09/2024
John,"Cappuccino, 2, £3.99",,Mobile,3564445118548733,06/05/2025
Michael,"Latte, 2, £4.45",####,####,,13/09/2024
Sheryl,"Cappuccino, 3, £4.9",Wimbledon,UNKNOWN,####,13/11/2024
Joshua,"Flat White, 1, £4.11",Wimbledon,Cash,3517161744528472,03/04/2025
Kimberly,"Hot Chocolate, 4, £4.54",Epsom,UNKNOWN,,25/10/2024
Kathleen,"Cappuccino, 1, £3.72",Guildford,Cash,4581444142694634949,08/10/2024
Barbara,"Hot Chocolate, N/A, £2.72",N/A,Mobile,4984866830353120,29/07/2024
Willie,"Latte, 4, £3.69",Epsom,UNKNOWN,30583600849219,15/07/2024
Curtis,"Cappuccino, 4, £1.77",Guildford,,UNKNOWN,27/10/2024
Kelly,"Latte, 3, £2.28",,Cash,UNKNOWN,07/09/2024
Maxwell,"Cappuccino, 3, £4.36",,,####,26/04/2025
Jonathan,"Latte, 4, £3.16",Wimbledon,Mobile,4188253499679893,28/05/2025
Daniel,"Hot Chocolate, 3, £3.36",Epsom,,4405035733412217442,14/07/2024
Alicia,"Flat White, 2, £4.95",Wimbledon,UNKNOWN,6011555489885977,12/09/2024
Amber,"Espresso, 4, £3.08",UNKNOWN,N/A,639005358945,15/09/2024
Sarah,"Espresso, 2, £3.12",N/A,Card,4202264414457,21/09/2024
Monica,"Mocha, 3, £2.73",,Card,,20/07/2024
Jessica,"Cappuccino, 1, £4.22",Guildford,,N/A,11/10/2024
Justin,"Cappuccino, 3, £2.36",UNKNOWN,N/A,5533410241112040,17/01/2025
Joanne,Cappuccino #### £4.12,####,Cash,,11/10/2024
Gary,Mocha 4 £3.37,Wimbledon,####,4482515580294,08/10/2024
Philip,"Mocha, 5, £4.21",Croydon,N/A,30410049728095,04/02/2025
Patrick,"Cappuccino, 3, £4.53",N/A,Cash,5277744744510585,18/02/2025
Kristy,"Hot Chocolate, , £2.1",Epsom,####,,15/08/2024
Alex,"Espresso, 4, £4.12",Epsom,N/A,UNKNOWN,11/03/2025
Willie,Cappuccino 5 £3.72,N/A,,,19/03/2025
Angela,"Latte, 4, £3.58",Epsom,Mobile,6551247393895849,12/10/2024
Laura,"Tea, 4, £2.88",Guildford,,N/A,29/08/2024
Tracy,"Latte, 2, £4.76",UNKNOWN,,213186744534256,04/10/2024
Karen,"Espresso, 5, £2.74",Wimbledon,Cash,4151055318249896,06/08/2024
Kayla,"Flat White, , £2.59",UNKNOWN,####,4975515016263600,14/07/2024
Brooke,"Hot Chocolate, 4, £2.98",Guildford,####,3593417571031973,15/06/2025
Katherine,"Hot Chocolate, 4, £3.43",,,,16/12/2024
Ryan,"Cappuccino, 3, £3.43",Wimbledon,,3555945893111160,18/02/2025
Natasha,"Hot Chocolate, 5, £4.37",N/A,N/A,3504986138135855,08/04/2025
Shelby,"Mocha, 1, £2.31",Guildford,Mobile,4263032851285103,25/09/2024
